Date,Electricity_Fire,Electricity_Nonfire
08-1990,207153.402,83194.773
09-1990,186475.635,71583.818
10-1990,175903.96,68161.205
11-1990,160101.304,70843.895
12-1990,173433.894,82028.856
01-1991,181348.524,87463.312
02-1991,152387.097,75539.507
03-1991,159192.966,80965.772
04-1991,154745.13,72664.347
05-1991,173231.149,81239.391
06-1991,182700.723,86009.037
07-1991,203454.667,90790.689
08-1991,204571.028,87185.075
09-1991,178052.893,77584.94
10-1991,172937.738,72038.027
11-1991,169797.437,71474.436
12-1991,170843.582,82842.574
01-1992,180180.3,87277.297
02-1992,161660.402,77558.884
03-1992,173583.318,73834.774
04-1992,165452.831,67647.823
05-1992,168791.751,73305.107
06-1992,180319.212,80452.804
07-1992,210580.307,82721.367
08-1992,197381.808,84230.549
09-1992,184762.587,74857.54
10-1992,172095.913,72582.943
11-1992,166471.494,77385.597
12-1992,177424.889,89602.831
01-1993,178771.281,91953.451
02-1993,169550.468,78197.352
03-1993,182414.928,78536.454
04-1993,158926.456,75482.055
05-1993,158089.355,85940.057
06-1993,189856.631,85216.353
07-1993,225474.534,86454.129
08-1993,227722.554,83431.468
09-1993,189395.314,74350.552
10-1993,181455.634,68800.988
11-1993,179243.878,72571.643
12-1993,189839.969,82028.43
01-1994,204259.184,85197.785
02-1994,172807.052,76083.938
03-1994,178530.684,79155.932
04-1994,166570.384,73764.808
05-1994,173107.472,79326.028
06-1994,212004.014,81856.377
07-1994,221885.871,89059.514
08-1994,220814.722,86478.425
09-1994,188139.383,77821.552
10-1994,181266.083,74950.97
11-1994,170630.093,80936.865
12-1994,180117.639,89090.691
01-1995,186254.802,93169.755
02-1995,170719.116,81273.22
03-1995,175359.557,85634.462
04-1995,164518.743,79879.88
05-1995,176885.297,87054.403
06-1995,194382.363,91538.473
07-1995,233573.078,96494.473
08-1995,251591.797,93839.739
09-1995,195025.575,82212.484
10-1995,179055.636,84574.26
11-1995,176307.311,84833.788
12-1995,190235.155,94970.184
01-1996,197580.5,99039.986
02-1996,178189.99,92212.287
03-1996,179676.941,95039.591
04-1996,164497.357,86822.789
05-1996,188034.953,93928.977
06-1996,206908.712,95515.458
07-1996,230134.685,97271.292
08-1996,233877.126,95106.718
09-1996,199983.888,82874.648
10-1996,190482.274,80661.736
11-1996,186313.734,82515.573
12-1996,190338.05,93609.076
01-1997,202467.754,97799.376
02-1997,170825.191,87028.755
03-1997,180824.508,91126.948
04-1997,174780.795,83206.812
05-1997,184618.289,87988.723
06-1997,206588.139,92206.546
07-1997,248649.205,95560.48
08-1997,237839.452,94752.406
09-1997,218942.579,81817.215
10-1997,205726.045,78937.814
11-1997,190000.478,80823.461
12-1997,209057.476,86991.849
01-1998,201296.562,93660.516
02-1998,173904.941,86411.005
03-1998,194909.481,91665.182
04-1998,179387.406,81548.658
05-1998,209192.376,90144.206
06-1998,236460.242,92149.22
07-1998,265265.018,96368.116
08-1998,265247.93,91814.354
09-1998,233975.01,84655.916
10-1998,200942.788,83199.435
11-1998,184015.694,82827.173
12-1998,202467.745,95215.11
01-1999,213674.014,101797.931
02-1999,182859.864,91651.736
03-1999,201584.514,96218.459
04-1999,198405.363,81982.929
05-1999,207525.615,92230.831
06-1999,229889.334,98703.778
07-1999,273046.934,103149.63
08-1999,263672.748,100016.89
09-1999,217206.363,87978.57
10-1999,202700.939,80892.155
11-1999,182730.358,88034.594
12-1999,196373.737,98458.756
01-2000,225850.309,101737.594
02-2000,200572.246,93217.191
03-2000,205237.206,95936.575
04-2000,191856.886,93327.919
05-2000,224617.114,97930.526
06-2000,240544.563,98116.152
07-2000,256447.65,99674.226
08-2000,272574.725,95688.597
09-2000,230428.58,81625.123
10-2000,212684.764,76361.098
11-2000,201679.954,82597.378
12-2000,229984.48,88620.276
01-2001,238506.058,92995.433
02-2001,198719.573,83348.676
03-2001,212135.612,87639.777
04-2001,198074.619,79046.796
05-2001,213701.663,85803.69
06-2001,232774.996,93941.481
07-2001,263972.681,92618.854
08-2001,276602.994,92881.905
09-2001,222449.309,83475.746
10-2001,212578.197,81130.696
11-2001,195236.878,82656.673
12-2001,212252.175,92192.824
01-2002,220383.934,98569.69
02-2002,193780.727,87063.541
03-2002,211821.417,89719.357
04-2002,200174.525,88641.85
05-2002,210718.07,95915.625
06-2002,239103.233,100787.412
07-2002,278096.111,101950.058
08-2002,275285.895,97971.028
09-2002,242656.103,87372.97
10-2002,222323.695,83542.587
11-2002,208395.425,86833.661
12-2002,227427.042,96391.381
01-2003,245413.9,95509.267
02-2003,212431.063,85924.494
03-2003,213189.964,90076.683
04-2003,197040.567,87662.661
05-2003,208998.66,97473.016
06-2003,228972.485,98682.823
07-2003,272283.527,100759.789
08-2003,282343.796,97979.971
09-2003,233972.887,87831.914
10-2003,221048.581,84377.258
11-2003,211482.142,85150.51
12-2003,231472.384,99062.353
01-2004,245526.981,99908.915
02-2004,222382.331,90813.226
03-2004,215113.149,92546.67
04-2004,203679.991,85734.625
05-2004,230576.557,95587.566
06-2004,244502.253,99366.151
07-2004,274163.669,101866.929
08-2004,268370.18,98869.088
09-2004,242125.017,92384.245
10-2004,223768.746,87540.714
11-2004,215219.061,85704.761
12-2004,239370.115,101201.918
01-2005,241667.903,100378.821
02-2005,209121.192,88429.38
03-2005,225076.06,91346.39
